source,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Middle East,"8,492","7,695","3,727","5,287","5,864",11.5%,8492.0,7695.0,3727.0,5287.0,5864.0,11.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Bahrain,-,4,-,5,992,,,4.0,,5.0,992.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Iraq,-,-,-,44,-,,,,,44.0,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
KSA,"1,407","2,438",116,"1,092",786,,1407.0,2438.0,116.0,1092.0,786.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Kuwait,"1,384","1,001",490,"1,764",975,,1384.0,1001.0,490.0,1764.0,975.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Oman,-,-,-,-,240,,,,,,240.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Qatar,"1,868","1,202","2,293","1,790","2,364",,1868.0,1202.0,2293.0,1790.0,2364.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
UAE,"3,833","3,049",828,593,506,,3833.0,3049.0,828.0,593.0,506.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
ASEAN,"34,651","43,833","44,630","50,053","41,201",9.6%,34651.0,43833.0,44630.0,50053.0,41201.0,9.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Brunei,"4,293","5,660","4,245","3,408","3,176",,4293.0,5660.0,4245.0,3408.0,3176.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Indonesia,"1,738",-,-,141,26,,1738.0,,,141.0,26.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Malaysia,"9,338","13,429","11,723","16,049","16,611",,9338.0,13429.0,11723.0,16049.0,16611.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Philippines,-,-,-,-,-,,,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Singapore,"18,188","20,361","27,437","27,323","19,620",,18188.0,20361.0,27437.0,27323.0,19620.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Thailand,409,"3,647","1,110","2,521","1,769",,409.0,3647.0,1110.0,2521.0,1769.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Vietnam,685,736,116,612,-,,685.0,736.0,116.0,612.0,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
OTHER ASIA,"55,327","61,344","72,837","71,140","86,402",5.6%,55327.0,61344.0,72837.0,71140.0,86402.0,5.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
China,"32,247","35,279","18,974","31,470","32,945",,32247.0,35279.0,18974.0,31470.0,32945.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Hong Kong,20,0,-,-,-,,20.0,0.0,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
India,"4,409","4,950","1,009","1,950","4,365",,4409.0,4950.0,1009.0,1950.0,4365.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Japan,518,"2,323","7,722","4,137","3,920",,518.0,2323.0,7722.0,4137.0,3920.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Russia,512,-,"1,320",241,-,,512.0,,1320.0,241.0,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
South Korea,"16,045","15,267","37,835","29,780","38,754",,16045.0,15267.0,37835.0,29780.0,38754.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Taiwan,"1,575","3,525","5,978","3,560","6,418",,1575.0,3525.0,5978.0,3560.0,6418.0,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
OTHERS**,"4,638","4,701","1,998","1,770",690,-1.9%,4638.0,4701.0,1998.0,1770.0,690.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
Total,"103,108","117,572","123,192","128,250","134,157",6.8%,103108.0,117572.0,123192.0,128250.0,134157.0,6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_058_p56.csv,general
