destination,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
MIDDLE EAST (a),-,-,-,122,-,-,,,,122.0,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
UAE,-,-,-,122,-,-,,,,122.0,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
ASEAN,"5,916","6,691","6,027","7,525","9,552","8,572",5916.0,6691.0,6027.0,7525.0,9552.0,8572.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Indonesia,21,98,67,119,252,19,21.0,98.0,67.0,119.0,252.0,19.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Malaysia,679,"2,416","1,259","2,131","1,319","1,786",679.0,2416.0,1259.0,2131.0,1319.0,1786.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Singapore,"3,704","3,066","2,711","2,849","4,812","4,602",3704.0,3066.0,2711.0,2849.0,4812.0,4602.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Thailand,"1,513",919,"1,683","2,333","3,025","1,818",1513.0,919.0,1683.0,2333.0,3025.0,1818.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Vietnam,-,192,308,93,144,347,,192.0,308.0,93.0,144.0,347.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
OTHER ASIA,"3,643","6,433","7,727","6,899","7,040","3,037",3643.0,6433.0,7727.0,6899.0,7040.0,3037.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
China,717,"1,441","1,897","2,670","3,986","1,802",717.0,1441.0,1897.0,2670.0,3986.0,1802.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Hong Kong,-,-,-,-,-,-,,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Japan,-,-,20,62,60,-,,,20.0,62.0,60.0,,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
South Korea,"2,284","3,453","3,385","2,645","1,911",907,2284.0,3453.0,3385.0,2645.0,1911.0,907.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Taiwan,643,"1,539","2,424","1,523","1,083",327,643.0,1539.0,2424.0,1523.0,1083.0,327.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
OTHERS (b),2,864,18,84,160,67,2.0,864.0,18.0,84.0,160.0,67.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
Total,"9,561","13,988","13,772","14,631","16,752","11,676",9561.0,13988.0,13772.0,14631.0,16752.0,11676.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_059_p57.csv,general
