destination_2020_2021_2022_2023_2024_aagr,source_pdf,detected_category
"MIDDLE EAST
 -   
 298 
 -   
 11 
 -   
-33.0%",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"UAE
 -   
 -   
 -   
 11 
 -",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Iraq
 -   
 298 
 -   
 -   
 -",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"ASEAN
 5,911 
 3,729 
 3,698 
 2,459 
 3,025 
-6.5%",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Brunei
 -   
 324 
 1,267 
 291 
 913 
Indonesia
 -   
 95 
 90 
 96 
 206 
Malaysia
 2,571 
 627 
 712 
 93 
 649 
Singapore
 2,753 
 640 
 253 
 1,171 
 577 
Thailand
 476 
 1,902 
 1,262 
 809 
 651 
Vietnam
 111 
 141 
 113 
 -   
 29",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"OTHER ASIA
 1,994 
 2,876 
 1,977 
 2,828 
 3,210 
-1%",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"China
 903 
 1,259 
 1,287 
 1,492 
 2,203",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Hong Kong
 306 
 -   
 -   
 -   
 -",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"India
 36 
 146 
 183 
 231 
 554",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Japan
 130 
 -   
 11 
 32 
 -   
South Korea
 21 
 789 
 246 
 966 
 277",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Taiwan
 598 
 682 
 250 
 107 
 176",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"OTHERS (b)
 0 
 77 
 -   
 472 
 -   
-7.3%",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
"Total 
 7,905 
 6,980 
 5,675 
 5,770 
 6,236 
-4.2%",2024_philippine_energy_situationer_and_key_energy_statistics_table_160_p57.csv,general
