table_of_contents,unnamed_1,unnamed_1_numeric,source_pdf,detected_category
ENERGY-ECONOMY INTERACTION,40,40.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Economic Parameters,40,40.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Energy Intensity,41,41.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Energy-to-GDP Elasticity,41,41.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Energy Per Capita,41,41.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
ENERGY AND ENVIRONMENT,43,43.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"GHG Emission, by Sector and Activity",43,43.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"GHG Emission, by Fuel Type",43,43.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Environmental Emission Indicators,44,44.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
ENERGY,45,45.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Total Primary Energy Supply Mix,45,45.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Total Final Energy Consumption, by Sector and Fuel Type",47,47.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
OIL AND GAS,51,51.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Oil and Gas Production, by Source",51,51.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Crude Oil Importation, by Country of Source",52,52.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Importation, by Fuel Type",54,54.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Importation, by Country of Source",55,55.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Exportation, by Country of Destination",57,57.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Consumption, by Sector and Fuel Type",58,58.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Consumption, by Fuel Type",60,60.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Petroleum Products Consumption, by Sector",61,61.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
COAL,62,62.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Coal Production, by Source",62,62.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Coal Importation, by Country of Source",63,63.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Coal Exportation, by Country of Destination",64,64.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Coal Consumption, by Major Type of User",65,65.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
RENEWABLE ENERGY,66,66.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Biomass Production, by Fuel Type",66,66.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Geothermal, Hydro, Wind, Solar and Biomass",67,67.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
POWER,69,69.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Installed Generating Capacity,69,69.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Power Generation, by Source and Grid",70,70.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
"Power Consumption, by Sector",72,72.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
Regional Household Electrification Level,73,73.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
GLOSSARY,74,74.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
UNITS OF MEASUREMENT AND CONVERSION TABLE,76,76.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_218_p39.csv,general
