qatar,nan,nan_numeric,nan_unit,source_pdf,detected_category
UAE,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
ASEAN,9.6%,9.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Brunei,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Indonesia,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Malaysia,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Philippines,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Singapore,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Thailand,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Vietnam,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
OTHER ASIA,5.6%,5.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
China,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Hong Kong,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
India,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Japan,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Russia,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
South Korea,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Taiwan,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
OTHERS**,-1.9%,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
Total,6.8%,6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_233_p56.csv,general
