transport,112_365,112_365_numeric,112_365_unit,source_pdf,detected_category
Industry,"10,732",10732.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Households,"14,014",14014.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Services,"19,386",19386.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Agriculture,"1,741",1741.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Power Generation,"5,728",5728.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Non-Energy Use,"7,851",7851.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Total,"171,817",171817.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Transport,4.2%,4.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Industry,2.4%,2.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Households,5.0%,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Services,5.3%,5.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Agriculture,-1.5%,-1.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Power Generation,-6.2%,-6.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Non-Energy Use,12.6%,12.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
Total,4.0%,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_238_p61.csv,general
