in_mmt_at_10_000_btu_lb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Country,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Indonesia,"26,305",26305.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Australia (a),711,711.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
China (b),1,1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Vietnam,181.70,181.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Others**,494,494.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Total,"27,692",27692.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Country,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Indonesia,10.4%,10.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Australia (a),-13.7%,-13.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
China(b),-61.2%,-61.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Vietnam,-3.5%,-3.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Others**,-21.4%,-21.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
Total,10.3%,10.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_240_p63.csv,general
