destination,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
MIDDLE EAST,11,-,,11.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
UAE,11,-,,11.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
ASEAN,"2,459","3,025",23.0%,2459.0,3025.0,23.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Brunei,291,913,,291.0,913.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Indonesia,96,206,,96.0,206.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Malaysia,93,649,,93.0,649.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Singapore,"1,171",577,,1171.0,577.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Thailand,809,651,,809.0,651.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Vietnam,-,29,,,29.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
OTHER ASIA,"2,828","3,210",14%,2828.0,3210.0,14.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
China,"1,492","2,203",,1492.0,2203.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
India,231,554,,231.0,554.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Japan,32,-,,32.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
South Korea,966,277,,966.0,277.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Taiwan,107,176,,107.0,176.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
OTHERS,472,-,,472.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
Total,"5,770","6,236",8.1%,5770.0,6236.0,8.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_021_p24.csv,general
