times_and_310_times_the_co2_emission_respectively,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Indicator,GR,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
GHG emission-to-GDP ratio,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
,1.1%,1.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
"(tCO2e/PhP 100K, 2000=100)",,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
GHG emission per capita,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
,5.9%,5.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
(tCO2e/person),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
GHG emission per Electricity,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
,0.4%,0.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
Generation (tCO2e/MWh),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
GHG emission per Oil consumption,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
,0.2%,0.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
(tCO2e/TOE),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
GHG emission per TPES,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
,1.4%,1.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
(tCO2e/TOE),,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_078_p10.csv,general
