nan,actual_per_du_per_province,rate,nan_numeric,actual_per_du_per_province_numeric,rate_numeric,rate_unit,source_pdf,detected_category
"485,827","18,700",96.3%,485827.0,18700.0,96.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,450,906",-,100.0%,1450906.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,007,889","35,415",96.6%,1007889.0,35415.0,96.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"3,539,679",-,100.0%,3539679.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"4,672,611",-,100.0%,4672611.0,,100.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"779,948","107,916",87.8%,779948.0,107916.0,87.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,358,578","133,719",91.0%,1358578.0,133719.0,91.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"3,886,962","61,004",98.5%,3886962.0,61004.0,98.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"17,182,400","202,483",98.8%,17182400.0,202483.0,98.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,097,256","164,589",87.0%,1097256.0,164589.0,87.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,257,561","46,741",96.4%,1257561.0,46741.0,96.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,772,742","4,402",99.8%,1772742.0,4402.0,99.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"1,147,196","48,450",95.9%,1147196.0,48450.0,95.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
"5,274,755","264,182",95.2%,5274755.0,264182.0,95.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_113_p51.csv,general
