electricity_generationeration,nan,nan_numeric,source_pdf,detected_category
,"10,789",10789.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
(GWh),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Hydropower,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Installed Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
,"3,836",3836.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Dependable Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
,"3,485",3485.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Electricity Generation,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
,"10,909",10909.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
(GWh),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Wind,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Installed Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Dependable Generating,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Capacity (MW),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
Electricity Generation,,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
,"1,239",1239.0,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
(GWh),,,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_105_p40.csv,hydro
