nan,nan_1,nan_1_numeric,nan_1_unit,source_pdf,detected_category
,Ethanol 0.3%,0.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,LNG 1.0%,1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Coal 22.7%,22.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
Net Imported,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
Energy:,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
55.0%,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Oil 29.5%,29.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Biofuels 0.3%,0.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Wind & Solar 0.5%,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Natural Gas 2.9%,2.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,"Oil 0.4%
Hydro 3.9%",,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Biomass 11.9%,11.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
Indigenous,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
Energy:,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Coal 12.3%,12.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
45.0%,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,Geothermal,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,14.1%,14.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
,2023 = 65.64 MTOE,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_194_p17.csv,natural_gas
