unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Industry,"6,320","6,821","7,107","7,068","7,260",1.1%,6320.0,6821.0,7107.0,7068.0,7260.0,1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Coal,"1,629","1,950","1,855","1,987","2,147",-0.5%,1629.0,1950.0,1855.0,1987.0,2147.0,-0.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Natural Gas(a),37,0.3,-,-,-,-53.7%,37.0,0.3,,,,-53.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Oil,"1,537","1,558","1,824","1,595","1,492",2.1%,1537.0,1558.0,1824.0,1595.0,1492.0,2.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Diesel,830,888,"1,200","1,085",996,6.4%,830.0,888.0,1200.0,1085.0,996.0,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Fuel Oil,512,450,411,296,295,-5.6%,512.0,450.0,411.0,296.0,295.0,-5.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
LPG,178,200,202,199,188,3.9%,178.0,200.0,202.0,199.0,188.0,3.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Kerosene,17,20,11,15,12,-2.7%,17.0,20.0,11.0,15.0,12.0,-2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Biomass,905,923,924,928,931,-1.9%,905.0,923.0,924.0,928.0,931.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Ricehull,38,39,39,40,40,-1.9%,38.0,39.0,39.0,40.0,40.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Fuelwood,135,137,135,135,134,-2.4%,135.0,137.0,135.0,135.0,134.0,-2.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Bagasse,392,400,401,404,405,-1.9%,392.0,400.0,401.0,404.0,405.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Agriwaste,324,331,331,334,335,-1.9%,324.0,331.0,331.0,334.0,335.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Animal Waste,16,17,17,17,17,-1.9%,16.0,17.0,17.0,17.0,17.0,-1.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Biodiesel,13,15,24,21,20,5.7%,13.0,15.0,24.0,21.0,20.0,5.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Electricity,"2,198","2,375","2,480","2,536","2,672",3.8%,2198.0,2375.0,2480.0,2536.0,2672.0,3.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Transport,"9,839","10,982","12,322","12,880","13,548",0.2%,9839.0,10982.0,12322.0,12880.0,13548.0,0.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Natural Gas***,-,-,-,-,-,-,,,,,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Oil,"9,411","10,503","11,790","12,309","12,938",4.0%,9411.0,10503.0,11790.0,12309.0,12938.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Gasoline,"4,145.2","4,714.0","5,188.5","5,589.8","5,921.4",6.4%,4145.2,4714.0,5188.5,5589.8,5921.4,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Diesel,"4,913.5","5,401.1","5,935.8","6,111.3","6,420.4",2.9%,4913.5,5401.1,5935.8,6111.3,6420.4,2.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Fuel Oil,128.8,190.9,322.3,219.4,231.5,2.7%,128.8,190.9,322.3,219.4,231.5,2.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Auto LPG(b),4.4,2.8,0.2,-,-,-47.9%,4.4,2.8,0.2,,,-47.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Aviation fuel,218.7,194.1,342.9,388.6,365.3,-3.9%,218.7,194.1,342.9,388.6,365.3,-3.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Biodiesel,97,101,117,121,127,2.9%,97.0,101.0,117.0,121.0,127.0,2.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Bioethanol,324,369,406,437,462,6.5%,324.0,369.0,406.0,437.0,462.0,6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
Electricity,7,9,9,13,21,8.3%,7.0,9.0,9.0,13.0,21.0,8.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_049_p49.csv,oil
