total_oil,3_078_68,2_409_75,2_013_56,1_586_61,1_263_53,776_09,3_078_68_numeric,2_409_75_numeric,2_013_56_numeric,1_586_61_numeric,1_263_53_numeric,776_09_numeric,source_pdf,detected_category
Nido(a),79.11,71.15,53.65,56.16,51.74,20.63,79.11,71.15,53.65,56.16,51.74,20.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Matinloc(b),69.83,70.72,72.75,67.49,43.05,1.54,69.83,70.72,72.75,67.49,43.05,1.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
North Matinloc(c),8.87,8.36,9.12,2.10,-,-,8.87,8.36,9.12,2.1,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Galoc,"2,920.88","2,259.52","1,878.04","1,460.85","1,166.76",744.45,2920.88,2259.52,1878.04,1460.85,1166.76,744.45,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Alegria(d),-,-,-,-,1.98,9.47,,,,,1.98,9.47,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Total Condensate,"3,078.68","2,409.75","2,013.56","1,586.61","1,263.53",776.09,3078.68,2409.75,2013.56,1586.61,1263.53,776.09,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Galoc,"2,920.88","2,259.52","1,878.04","1,460.85","1,166.76",744.45,2920.88,2259.52,1878.04,1460.85,1166.76,744.45,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Total Gas,"130,351","122,541","140,398","138,497","154,622","155,690",130351.0,122541.0,140398.0,138497.0,154622.0,155690.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Libertad(e),35,15,-,-,-,-,35.0,15.0,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
Malampaya Gas,"130,316","122,527","140,398","138,497","154,622","155,690",130316.0,122527.0,140398.0,138497.0,154622.0,155690.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_051_p51.csv,oil
