total_oil,700_12,632_29,558_28,501_20,447_86,17_5,700_12_numeric,632_29_numeric,558_28_numeric,501_20_numeric,447_86_numeric,17_5_numeric,17_5_unit,source_pdf,detected_category
Nido(a),-,-,-,-,-,-23.6%,,,,,,-23.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Matinloc(b),-,-,-,-,-,-53.4%,,,,,,-53.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
North Matinloc(c),-,-,-,-,-,-38.1%,,,,,,-38.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Galoc,695.25,630.25,556.90,501.14,447.86,-17.1%,695.25,630.25,556.9,501.14,447.86,-17.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Alegria(d),4.87,2.04,1.37,0.06,-,-49.7%,4.87,2.04,1.37,0.06,,-49.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Total Condensate,"3,469.45","2,936.44","2,706.11","1,904.42","1,733.44",-8.4%,3469.45,2936.44,2706.11,1904.42,1733.44,-8.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Galoc,"3,469.45","2,936.44","2,706.11","1,904.42","1,733.44",-8.4%,3469.45,2936.44,2706.11,1904.42,1733.44,-8.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Total Gas,"141,191","121,089","112,172","80,660","70,338",-6.7%,141191.0,121089.0,112172.0,80660.0,70338.0,-6.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Libertad(e),-,-,-,-,-,-58.2%,,,,,,-58.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
Malampaya Gas,"141,191","121,089","112,172","80,660","70,338",-6.0%,141191.0,121089.0,112172.0,80660.0,70338.0,-6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_052_p51.csv,oil
