unnamed_0,coal,natural_gas,condensate,crude,gasoline,kerosene,diesel,fuel_oil,lpg,jet_a_1,avgas,coal_numeric,kerosene_numeric,diesel_numeric,fuel_oil_numeric,lpg_numeric,source_pdf,detected_category
Indigenous,"8,401.29","1,638.17",180.97,60.19,-,-,-,-,-,-,-,8401.29,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Imports (+),"21,299.76","1,415.18",-,"6,097.24","4,372.50",20.57,"7,281.93",948.22,"1,797.46","1,128.52",3.84,21299.76,20.57,7281.93,948.22,1797.46,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Exports (-),"(4,157.47)",-,(180.97),(66.95),(50.86),-,(32.41),(22.98),(2.26),-,-,-4157.47,,-32.41,-22.98,-2.26,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"International Marine 
Bunkers (-)",-,-,-,-,-,-,(39.56),(15.39),-,-,-,,,-39.56,-15.39,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"International Civil 
Aviation (-)",-,-,-,-,-,-,-,-,-,"(1,777.21)",-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Stock Change (+/-),(911.14),-,-,(79.14),(26.05),(2.09),75.01,(16.72),(7.08),(21.82),0.32,-911.14,-2.09,75.01,-16.72,-7.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"Total Primary Energy 
Supply","24,632.45","3,053.34",-,"6,011.34","4,295.60",18.48,"7,284.97",893.13,"1,788.12",(670.51),4.15,24632.45,18.48,7284.97,893.13,1788.12,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Refinery  (Crude Run),-,-,-,"(6,409.25)","1,612.92",20.52,"2,265.85",55.45,231.56,"1,069.04",-,,20.52,2265.85,55.45,231.56,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Power Generation,-,-,-,-,-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Fuel Input (-),"(22,403.00)","(2,810.52)",-,-,-,-,(440.29),(263.37),-,-,-,-22403.0,,-440.29,-263.37,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Electricity Generation,"6,823.67","1,551.74",-,-,-,-,101.93,13.43,-,-,-,6823.67,,101.93,13.43,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"Transmission/
Distribution Loss (-)",-,-,-,-,-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"Energy Sector Use & 
Loss (-)",-,(242.83),-,(388.71),-,-,-,-,-,-,-,,,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Net Domestic Supply,"2,229.45",-,-,(786.63),"5,908.51",39.00,"9,110.53",685.22,"2,019.68",398.53,4.15,2229.45,39.0,9110.53,685.22,2019.68,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Statistical Difference,-,-,-,-,(17.22),(3.12),(139.75),10.25,(30.62),37.44,(0.06),,-3.12,-139.75,10.25,-30.62,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
% Statistical Difference,-,-,-,-,-,(7.99),(1.53),1.50,(1.52),9.40,(1.37),,-7.99,-1.53,1.5,-1.52,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
"Total Final Energy 
Consumption","2,229.45",-,-,-,"5,925.73",42.12,"9,250.28",674.96,"2,050.29",361.08,4.21,2229.45,42.12,9250.28,674.96,2050.29,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Industry,"2,146.65",-,-,-,-,12.21,996.29,295.46,187.54,-,-,2146.65,12.21,996.29,295.46,187.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Manufacturing,"2,146.65",-,-,-,-,12.02,319.22,244.34,183.37,-,-,2146.65,12.02,319.22,244.34,183.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Beverages,46.91,-,-,-,-,0.06,46.57,19.29,2.56,-,-,46.91,0.06,46.57,19.29,2.56,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Tobacco,-,-,-,-,-,-,0.21,0.01,2.67,-,-,,,0.21,0.01,2.67,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Coco/Vegetable Oil,26.25,-,-,-,-,0.10,10.63,0.83,6.96,-,-,26.25,0.1,10.63,0.83,6.96,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Sugar,4.85,-,-,-,-,1.89,23.54,0.64,0.04,-,-,4.85,1.89,23.54,0.64,0.04,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Food Processing,262.85,-,-,-,-,5.00,46.21,12.08,80.91,-,-,262.85,5.0,46.21,12.08,80.91,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
Textiles/Apparel,4.25,-,-,-,-,-,0.07,2.02,2.05,-,-,4.25,,0.07,2.02,2.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_125_p28.csv,oil
