unnamed_0,coal,natural_gas,condensate,crude,gasoline,kerosene,diesel,fuel_oil,lpg,jet_a_1,avgas,diesel_numeric,fuel_oil_numeric,source_pdf,detected_category
"Chemicals Except 
Fertilizer",33.60,-,-,-,-,4.30,37.48,42.74,22.96,-,-,37.48,42.74,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Fertilizer,24.01,-,-,-,-,-,2.58,-,0.52,-,-,2.58,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Lube Refining,-,-,-,-,-,-,-,-,-,-,-,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Glass/Glass Products,-,-,-,-,-,-,7.46,51.58,1.58,-,-,7.46,51.58,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Cement,"1,211.05",-,-,-,-,-,24.30,24.67,0.67,-,-,24.3,24.67,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
"Other Non-Metlc 
Minerals",4.56,-,-,-,-,-,1.49,0.62,0.05,-,-,1.49,0.62,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Basic Metal,225.18,-,-,-,-,0.00,13.87,74.88,14.99,-,-,13.87,74.88,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Machinery/Equipment,-,-,-,-,-,0.67,49.57,6.07,19.40,-,-,49.57,6.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Other Manufacturing,203.47,-,-,-,-,-,44.64,4.79,21.58,-,-,44.64,4.79,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
"Rubber/ Rubber 
Products",22.61,-,-,-,-,-,1.13,0.13,1.03,-,-,1.13,0.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Mining,-,-,-,-,-,0.00,419.77,49.37,-,-,-,419.77,49.37,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Construction,-,-,-,-,-,0.19,257.31,1.75,4.17,-,-,257.31,1.75,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Transport,-,-,-,-,"5,921.36",-,"6,420.35",231.45,-,361.08,4.21,6420.35,231.45,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Railway,-,-,-,-,-,-,1.08,-,-,-,-,1.08,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Road  Transport,-,-,-,-,"5,720.14",-,"5,979.85",-,-,-,-,5979.85,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Water Transport,-,-,-,-,201.22,-,439.42,231.45,-,-,-,439.42,231.45,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
"Domestic Air 
Transport",-,-,-,-,-,-,-,-,-,361.08,4.21,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Households,-,-,-,-,-,29.90,-,-,"1,343.36",-,-,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Services,-,-,-,-,-,-,"1,690.91",147.16,519.40,-,-,1690.91,147.16,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Agriculture,-,-,-,-,4.37,0.01,142.73,0.89,-,-,-,142.73,0.89,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Agri-Industry,-,-,-,-,3.05,0.00,27.62,-,-,-,-,27.62,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Agri Crops Product,-,-,-,-,3.04,0.00,25.95,-,-,-,-,25.95,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Livestock/Poultry,-,-,-,-,0.01,-,1.67,-,-,-,-,1.67,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Agri Services,-,-,-,-,-,-,-,-,-,-,-,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Forestry,-,-,-,-,-,-,-,-,-,-,-,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Fishery,-,-,-,-,1.33,0.00,115.10,0.89,-,-,-,115.1,0.89,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
Non-Energy Use,82.80,-,-,-,-,-,-,-,-,-,-,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_127_p30.csv,oil
