naphtha,asphalt,other_petroleum_products,hydro,geothermal,solar,wind,biomass,biodiesel,bioethanol,electricity,total,biodiesel_numeric,electricity_numeric,total_numeric,source_pdf,detected_category
-,-,-,"2,560.91","9,226.30",218.75,112.48,"7,818.93",186.04,213.99,-,"30,533.82",186.04,,30533.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
800.15,100.40,345.02,-,-,-,-,-,-,191.29,-,"42,026.89",,,42026.89,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
(129.43),-,(449.59),-,-,-,-,-,-,-,-,"(4,955.81)",,,-4955.81,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,-,-,-,(52.48),,,-52.48,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,-,-,-,"(1,620.84)",,,-1620.84,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
(44.74),4.35,(89.05),-,-,-,-,-,(4.60),31.85,-,(286.79),-4.6,,-286.79,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
625.98,104.76,(193.62),"2,560.91","9,226.30",218.75,112.48,"7,818.93",181.43,437.14,-,"65,644.80",181.43,,65644.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
133.04,-,867.85,-,-,-,-,-,-,-,-,(375.10),,,-375.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,-,-,-,-,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,"(2,560.91)","(9,226.30)",(218.75),(112.48),(548.89),(7.61),-,-,"(36,725.52)",-7.61,,-36725.52,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,884.54,922.63,218.75,112.48,121.14,-,-,"10,146.51","10,146.51",,10146.51,10146.51,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,-,-,"(1,014.00)","(1,014.00)",,-1014.0,-1014.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,-,-,(894.51),"(1,401.14)",,-894.51,-1401.14,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
759.0,104.8,674.2,-,-,-,-,"7,270.0",173.8,437.1,"8,237.99","36,275.54",173.8,8237.99,36275.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
(93.25),(7.80),322.44,-,-,-,-,-,-,-,(0.00),(743.25),,-0.0,-743.25,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
(12.29),(7.44),47.82,-,-,-,,-,-,-,(0.00),(2.05),,-0.0,-2.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
852.26,112.55,351.79,-,-,-,-,"7,270.04",173.82,437.14,"8,237.99","37,018.79",173.82,8237.99,37018.79,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,928.12,21.41,-,"2,535.91","7,067.99",21.41,2535.91,7067.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,928.12,6.66,-,"2,148.11","5,861.26",6.66,2148.11,5861.26,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,917.00,2.51,-,671.85,"2,206.13",2.51,671.85,2206.13,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.89,-,38.19,159.87,0.89,38.19,159.87,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.00,-,2.31,5.59,0.0,2.31,5.59,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.22,-,81.64,117.97,0.22,81.64,117.97,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,403.50,0.38,-,31.85,468.02,0.38,31.85,468.02,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,513.49,1.01,-,517.87,"1,454.68",1.01,517.87,1454.68,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.00,-,67.35,87.82,0.0,67.35,87.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.00,-,67.35,87.82,0.0,67.35,87.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.03,-,10.28,18.18,0.03,10.28,18.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.03,-,10.28,18.18,0.03,10.28,18.18,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.11,-,67.37,278.07,0.11,67.37,278.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
-,-,-,-,-,-,-,-,0.11,-,67.37,278.07,0.11,67.37,278.07,2024_philippine_energy_situationer_and_key_energy_statistics_table_130_p33.csv,oil
