unnamed_0,other,unnamed_0_numeric,source_pdf,detected_category
Total,Petroleum,,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
,Products,,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"30,533.82",-,30533.82,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"42,026.89",345.02,42026.89,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"(4,955.81)",(449.59),-4955.81,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
(52.48),-,-52.48,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"(1,620.84)",-,-1620.84,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
(286.79),(89.05),-286.79,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"65,644.80",(193.62),65644.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
(375.10),867.85,-375.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
-,-,,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"(36,725.52)",-,-36725.52,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"10,146.51",-,10146.51,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"(1,014.00)",-,-1014.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"(1,401.14)",-,-1401.14,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"36,275.54",674.2,36275.54,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
(743.25),322.44,-743.25,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
(2.05),47.82,-2.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"37,018.79",351.79,37018.79,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"7,067.99",-,7067.99,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
"5,861.26",-,5861.26,2024_philippine_energy_situationer_and_key_energy_statistics_table_214_p32.csv,oil
