indigenerationumberenergy,30_906,30_906_numeric,30_906_unit,source_pdf,detected_category
Oil,523,523.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Natural Gas,"3,626",3626.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Coal,"7,258",7258.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Hydro,"1,998",1998.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Geothermal,"9,192",9192.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Biomass,"7,736",7736.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Wind,90,90.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Solar(a),107,107.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Biodiesel,178,178.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Bioethanol,199,199.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Net Imported Energy,"28,414",28414.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Oil,"18,000",18000.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Coal,"10,224",10224.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Bioethanol,190,190.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
TPES,"59,320",59320.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Renewable Energy (RE),"19,690",19690.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Green Energy (RE + Natural Gas),"23,316",23316.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Self Sufficiency (%),52,52.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Indigenous Energy,1.6%,1.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Oil,-11.8%,-11.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Natural Gas,-6.0%,-6.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Coal,7.7%,7.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Hydro,1.8%,1.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Geothermal,0.5%,0.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Biomass,0.7%,0.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Wind,23.3%,23.3,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Solar(a),44.5%,44.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Biodiesel,5.0%,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Bioethanol,12.5%,12.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Net Imported Energy,6.7%,6.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Oil,4.5%,4.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Coal,9.4%,9.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Bioethanol,1.8%,1.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Natural Gas(b),119.8%,119.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
TPES,4.0%,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Renewable Energy (RE),1.1%,1.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Green Energy (RE + Natural Gas),0.9%,0.9,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
Self Sufficiency (%),,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_224_p46.csv,oil
