indtry,7_306,7_306_numeric,source_pdf,detected_category
Coal,"2,217",2217.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Natural Gas(a),62,62.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Oil,"1,381",1381.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Diesel,754,754.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Fuel Oil,453,453.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
LPG,173,173.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Kerosene,2,2.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Biomass,"1,207",1207.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Ricehull,51,51.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Fuelwood,180,180.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Bagasse,522,522.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Agriwaste,432,432.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Animal Waste,22,22.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Biodiesel,15,15.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Electricity,"2,424",2424.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Transport,"12,698",12698.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Natural Gas***,-,,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Oil,"12,181.1",12181.1,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Gasoline,"4,870",4870.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Diesel,"6,479",6479.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Fuel Oil,196,196.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Auto LPG(b),9,9.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Aviation fuel,626,626.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Biodiesel,127,127.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Bioethanol,380,380.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
Electricity,10,10.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_226_p47.csv,oil
