gasoline,39_578,39_578_numeric,39_578_unit,source_pdf,detected_category
Diesel,"71,101",71101.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Fuel Oil,"8,530",8530.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Aviation Fuel,"17,674",17674.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
LPG,"20,782",20782.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Kerosene,587,587.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Biodiesel,"1,437",1437.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Bioethanol,"4,276",4276.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Others**,"7,851",7851.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Total,"171,817",171817.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Gasoline,6.4%,6.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Diesel,3.4%,3.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Fuel Oil,-6.8%,-6.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Aviation Fuel,3.1%,3.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
LPG,5.5%,5.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Kerosene,-9.1%,-9.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Biodiesel,3.4%,3.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Bioethanol,6.5%,6.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Others**,12.6%,12.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
Total,4.0%,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
*average annual growth rate,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_237_p60.csv,oil
