units_of_measurement,unnamed_1,source_pdf,detected_category
BCF,Billion Cubic Feet,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
BTu,British Thermal Units,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
GWh,Gigawatt-Hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
KWh,Kilowatt-hour,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
kTOE,Thousand tonnes of oil equivalent,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
Lb,Pound,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
MB,Thousand Barrels,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
MMMT,Million Metric Tons,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
MMSCF,Million Standard Cubic Feet,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
MMT,Thousand Metric Tons,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
MW,Megawatt,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
Php,Philippine Peso,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
ROM,Run of Mine,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
USD,US Dollar,2024_philippine_energy_situationer_and_key_energy_statistics_table_253_p76.csv,oil
