unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Industry,"7,068","7,260",2.7%,7068.0,7260.0,2.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Coal,"1,987","2,147",8.0%,1987.0,2147.0,8.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Natural Gas,-,-,,,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Oil,"1,595","1,492",-6.5%,1595.0,1492.0,-6.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Diesel,"1,085",996,-8.2%,1085.0,996.0,-8.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Fuel Oil,296,295,-0.3%,296.0,295.0,-0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
LPG,199,188,-5.6%,199.0,188.0,-5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Kerosene,15,12,-20.0%,15.0,12.0,-20.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Biomass,928,931,0.3%,928.0,931.0,0.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Ricehull,40,40,0.5%,40.0,40.0,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Fuelwood,135,134,-0.6%,135.0,134.0,-0.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Bagasse,404,405,0.5%,404.0,405.0,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Agriwaste,334,335,0.5%,334.0,335.0,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Animal Waste,17,17,0.5%,17.0,17.0,0.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Biodiesel,21,20,-8.8%,21.0,20.0,-8.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
Electricity,"2,536","2,672",5.4%,2536.0,2672.0,5.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_011_p13.csv,oil
