unnamed_0,petroleum_products_exportation_by_country_of_destination,unnamed_0_numeric,unnamed_0_unit,source_pdf,detected_category
GR,Destination,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,MIDDLE EAST,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,UAE,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
23.0%,ASEAN,23.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Brunei,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Indonesia,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Malaysia,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Singapore,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Thailand,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Vietnam,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
14%,OTHER ASIA,14.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,China,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,India,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Japan,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,South Korea,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,Taiwan,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,OTHERS,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
8.1%,Total,8.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
,"Others include Australia, Bangladesh, Guam, Egypt, Saipan and USA",,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_091_p24.csv,oil
