unnamed_0,units_of_measurement,source_pdf,detected_category
BCF,Billion Cubic Feet,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
BTu,British Thermal Units,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
GWh,Gigawatt-Hour,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
KWh,Kilowatt-hour,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
kTOE,Thousand tonnes of oil equivalent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
Lb,Pound,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
MB,Thousand Barrels,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
MMMT,Million Metric Tons,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
MMSCF,Million Standard Cubic Feet,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
MMT,Thousand Metric Tons,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
MW,Megawatt,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
Php,Philippine Peso,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
ROM,Run of Mine,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
USD,US Dollar,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_118_p56.csv,oil
