unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Total Installed Capacity,"17,944","18,765","21,423","22,728","23,815","25,531",17944.0,18765.0,21423.0,22728.0,23815.0,25531.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Coal,"5,708","5,963","7,419","8,049","8,844","10,417",5708.0,5963.0,7419.0,8049.0,8844.0,10417.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Oil,"3,476","3,610","3,616","4,153","4,292","4,262",3476.0,3610.0,3616.0,4153.0,4292.0,4262.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Natural Gas,"2,862","2,862","3,431","3,447","3,453","3,453",2862.0,2862.0,3431.0,3447.0,3453.0,3453.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Renewable Energy,"5,898","6,330","6,958","7,079","7,227","7,399",5898.0,6330.0,6958.0,7079.0,7227.0,7399.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Geothermal,"1,918","1,917","1,916","1,916","1,944","1,928",1918.0,1917.0,1916.0,1916.0,1944.0,1928.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Hydro,"3,543","3,600","3,618","3,627","3,701","3,760",3543.0,3600.0,3618.0,3627.0,3701.0,3760.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Wind,283,427,427,427,427,427,283.0,427.0,427.0,427.0,427.0,427.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Solar (a),23,165,765,885,896,921,23.0,165.0,765.0,885.0,896.0,921.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
Biomass,131,221,233,224,258,363,131.0,221.0,233.0,224.0,258.0,363.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_097_p69.csv,solar
