unnamed_0,2020,2021,2022,2023,2024,aagr,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,aagr_numeric,aagr_unit,source_pdf,detected_category
Total Installed Capacity,"26,286","26,882","28,258","28,291","29,706",5%,26286.0,26882.0,28258.0,28291.0,29706.0,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Coal,"10,944","11,669","12,428","12,406","13,006",9%,10944.0,11669.0,12428.0,12406.0,13006.0,9.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Oil,"4,237","3,847","3,834","3,737","3,448",0%,4237.0,3847.0,3834.0,3737.0,3448.0,0.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Natural Gas,"3,453","3,453","3,732","3,732","3,732",3%,3453.0,3453.0,3732.0,3732.0,3732.0,3.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Renewable Energy,"7,653","7,914","8,264","8,417","9,520",5%,7653.0,7914.0,8264.0,8417.0,9520.0,5.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Geothermal,"1,928","1,928","1,952","1,952","1,952",0%,1928.0,1928.0,1952.0,1952.0,1952.0,0.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Hydro,"3,779","3,752","3,745","3,799","3,836",1%,3779.0,3752.0,3745.0,3799.0,3836.0,1.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Wind,443,427,427,427,427,4%,443.0,427.0,427.0,427.0,427.0,4.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Solar (a),"1,019","1,317","1,530","1,653","2,710",17%,1019.0,1317.0,1530.0,1653.0,2710.0,17.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
Biomass,484,489,611,585,595,16%,484.0,489.0,611.0,585.0,595.0,16.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_098_p69.csv,solar
