in_gwh,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Mindanao,2019,2019.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Coal,"9,420",9420.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Oil,554,554.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Natural Gas,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Renewable Energy,"3,831",3831.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Geothermal,766,766.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Hydro,"2,885",2885.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Biomass,93,93.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Solar (a),87,87.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Wind,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Total,"13,805",13805.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Mindanao,AAGR*,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Coal,27%,27.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Oil,-22%,-22.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Natural Gas,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Renewable Energy,1.7%,1.7,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Geothermal,-1.8%,-1.8,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Hydro,1.4%,1.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Biomass,35%,35.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Solar (a),12%,12.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Wind,-,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
Total,8%,8.0,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
in GWh,,,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_248_p71.csv,solar
