,Coal,"Natural
Gas",Condensate,Crude,Gasoline,Kerosene,Diesel,Fuel Oil,LPG,Jet A-1,Avgas
"Chemical and
petrochemical",60.97,-,-,-,-,5.20,42.15,21.74,28.00,-,-
"Chemicals Except
Fertilizer",32.32,-,-,-,-,5.20,39.80,21.74,27.93,-,-
Fertilizer,28.65,-,-,-,-,-,2.34,-,0.07,-,-
Lube Refining,-,-,-,-,-,-,-,-,-,-,-
Non-metallic minerals,916.84,-,-,-,-,-,37.75,72.49,2.03,-,-
Glass/Glass Products,-,-,-,-,-,-,7.24,48.63,1.37,-,-
Cement,905.79,-,-,-,-,-,28.93,23.15,0.61,-,-
"Other Non-Metlc
Minerals",11.06,-,-,-,-,-,1.59,0.70,0.05,-,-
Iron and steel,224.98,-,-,-,-,0.99,15.01,91.33,15.15,-,-
Basic Metal,224.98,-,-,-,-,0.99,15.01,91.33,15.15,-,-
Machinery,-,-,-,-,-,1.33,71.17,17.02,19.71,-,-
Machinery/Equipment,-,-,-,-,-,1.33,71.17,17.02,19.71,-,-
Not elsewhere specified,216.57,-,-,-,-,-,36.56,3.67,24.03,-,-
Other Manufacturing,200.63,-,-,-,-,-,34.90,3.52,23.22,-,-
"Rubber/ Rubber
Products",15.94,-,-,-,-,-,1.66,0.15,0.81,-,-
Mining,-,-,-,-,-,0.00,396.83,49.20,-,-,-
Construction,-,-,-,-,-,0.16,350.98,1.48,5.54,-,-
TRANSPORT,-,-,-,-,"5,589.82",-,"6,111.32",219.35,-,384.74,3.89
Railway,-,-,-,-,-,-,2.13,-,-,-,-
Road Transport,-,-,-,-,"5,415.67",-,"5,623.20",-,-,-,-
Water Transport,-,-,-,-,174.15,-,485.99,219.35,-,-,-
Domestic Air Transport,-,-,-,-,-,-,-,-,-,384.74,3.89
HOUSEHOLDS,-,-,-,-,-,31.87,-,-,"1,317.67",-,-
SERVICES,-,-,-,-,-,-,"1,479.65",150.81,486.86,-,-
AGRICULTURE,-,-,-,-,10.46,-,133.42,0.70,-,-,-
Agri-Industry,-,-,-,-,9.14,-,31.80,-,-,-,-
Agri Crops Product,-,-,-,-,9.13,-,29.92,-,-,-,-
Livestock/Poultry,-,-,-,-,0.01,-,1.88,-,-,-,-
Agri Services,-,-,-,-,-,-,-,-,-,-,-
Forestry,-,-,-,-,-,-,-,-,-,-,-
Fishery,-,-,-,-,1.33,-,101.62,0.70,-,-,-
NON-ENERGY USE,80.06,-,-,-,-,-,-,-,-,-,-
Self-sufficiency,,,,,,,,,,,
