Source,2020,2021,2022,2023,2024,AAGR*
Middle East,"24,040","28,411","43,343","47,481","43,931",-1.1%
Saudi Arabia,"15,044","19,059","22,760","24,102","23,340",-4.5%
Iraq (a),-,630,"4,760","5,976","6,060",112.7%
Kuwait (b),"7,991",-,"1,952",798,-,-31.7%
UAE,506,"4,769","13,368","14,597","14,020",8.2%
Qatar,498,952,502,999,510,-21.3%
Oman (c),-,"3,002",-,"1,009",-,9.8%
Indonesia (d),-,-,-,-,-,-25.3%
Malaysia (e),629,-,-,-,306,-25.2%
Others**,"8,273","1,277",-,-,"1,130",-21.2%
Total,"32,942","29,689","43,343","47,481","45,366",-3.5%
