,2014,2015,2016,2017,2018,2019
Gasoline,"25,833","29,667","32,630","35,509","36,574","39,578"
Diesel,"51,595","57,545","63,622","66,939","69,082","71,101"
Fuel Oil,"13,364","14,568","12,862","11,719","9,335","8,530"
Aviation Fuel,"12,463","13,086","14,879","16,474","17,390","17,674"
LPG,"13,073","14,842","16,926","18,552","20,486","20,782"
Kerosene,860,811,777,767,638,587
Biodiesel,"1,049","1,171","1,289","1,364","1,400","1,437"
Bioethanol,"2,765","3,168","3,477","3,818","3,936","4,276"
Others**,"3,501","8,368","8,954","11,397","9,964","7,851"
Total,"124,503","143,226","155,414","166,539","168,805","171,817"
