,2020,2021,2022,2023,2024,AAGR*
Total Installed Capacity,"26,286","26,882","28,258","28,291","29,706",5%
Coal,"10,944","11,669","12,428","12,406","13,006",9%
Oil,"4,237","3,847","3,834","3,737","3,448",0%
Natural Gas,"3,453","3,453","3,732","3,732","3,732",3%
Renewable Energy,"7,653","7,914","8,264","8,417","9,520",5%
Geothermal,"1,928","1,928","1,952","1,952","1,952",0%
Hydro,"3,779","3,752","3,745","3,799","3,836",1%
Wind,443,427,427,427,427,4%
Solar (a),"1,019","1,317","1,530","1,653","2,710",17%
Biomass,484,489,611,585,595,16%
