Philippines,2014,2015,2016,2017,2018,2019
Coal,"33,054","36,686","43,303","46,847","51,932","57,890"
Oil,"5,708","5,886","5,661","3,787","3,173","3,752"
Natural Gas,"18,690","18,878","19,854","20,547","21,334","22,354"
Renewable Energy,"19,810","20,963","21,979","23,189","23,326","22,044"
Geothermal,"10,308","11,044","11,070","10,270","10,435","10,691"
Hydro,"9,137","8,665","8,111","9,611","9,384","8,025"
Biomass,196,367,726,"1,013","1,105","1,040"
Solar (a),17,139,"1,097","1,201","1,249","1,246"
Wind,152,748,975,"1,094","1,153","1,042"
Total,"77,261","82,413","90,798","94,370","99,765","106,041"
**Self-sufficiency level (%),53,53,51,54,51,47
Philippines,2020,2021,2022,2023,2024,AAGR*
Coal,"58,176","62,052","66,430","73,754","79,359",9%
Oil,"2,474","1,616","2,519","1,304","1,342",-13%
Natural Gas,"19,497","19,060","17,884","16,668","18,047",0%
Renewable Energy,"21,609","23,386","24,684","26,278","28,193",4%
Geothermal,"10,757","10,016","10,425","10,730","10,789",0.5%
Hydro,"7,192","9,185","10,085","10,287","10,909",1.8%
Biomass,"1,261","1,445","1,322","1,409","1,446",22%
Solar (a),"1,373","1,470","1,822","2,544","3,811",45%
Wind,"1,026","1,270","1,030","1,308","1,239",23%
Total,"101,756","106,115","111,516","118,004","126,941",5%
**Self-sufficiency level (%),47,45,43,42,39,
